0.003	0.476	1214
-0.155	0.372	857
-0.161	0.371	940
-0.127	0.388	1313
-0.152	0.351	1384
-0.16	0.322	1384
-0.133	0.349	1571
-0.122	0.315	1652
-0.101	0.313	1941
-0.063	0.307	2194
-0.058	0.284	2595
-0.024	0.275	3125
0.012	0.27	4262
0.03	0.236	5582
0.057	0.221	8010
0.078	0.206	11823
0.096	0.185	17892
0.112	0.173	27060
0.119	0.161	40488
0.125	0.153	59886
0.131	0.146	86640
0.134	0.141	121388
0.136	0.139	166429
0.136	0.134	218422
0.137	0.133	284151
0.137	0.133	356383
0.136	0.13	432654
0.136	0.131	513826
0.135	0.131	592942
0.134	0.133	671024
0.135	0.138	746003
0.136	0.143	813365
0.138	0.15	872082
0.139	0.156	924118
0.141	0.163	961634
0.144	0.172	991341
0.148	0.185	1009928
0.152	0.194	1016347
0.152	0.199	1005719
0.149	0.2	982653
0.145	0.199	954221
0.14	0.197	919778
0.133	0.192	877558
0.126	0.185	838285
0.12	0.18	802274
0.117	0.176	770487
0.116	0.175	744683
0.117	0.176	724923
0.119	0.177	701686
0.119	0.178	673406
0.118	0.18	634098
0.115	0.181	590726
0.11	0.182	543169
0.107	0.185	498983
0.105	0.189	461519
0.103	0.191	426959
0.101	0.194	394554
0.098	0.196	359122
0.093	0.199	319903
0.084	0.204	277246
0.074	0.209	234548
0.062	0.217	195343
0.052	0.224	161211
0.039	0.23	133051
0.027	0.236	110682
0.016	0.242	91131
0.006	0.247	74651
-0.007	0.25	60614
-0.025	0.246	48597
-0.036	0.249	38733
-0.048	0.251	31086
-0.06	0.252	25042
-0.071	0.253	20074
-0.082	0.26	16619
-0.097	0.261	13621
-0.102	0.272	11423
-0.104	0.284	9891
-0.096	0.316	8735
-0.089	0.333	7894
-0.075	0.354	6785
-0.089	0.353	5786
-0.101	0.352	4757
-0.095	0.367	4029
-0.081	0.391	3318
-0.077	0.402	2557
-0.118	0.377	1900
-0.188	0.332	1293
-0.235	0.289	836
-0.253	0.28	550
-0.302	0.223	368
-0.289	0.209	235
-0.279	0.237	163
-0.272	0.259	83
-0.313	0.315	47
-0.23	0.387	29
-0.316	0.338	19
-0.293	0.288	8
-0.273	0.526	9
-0.578	0.375	3
-0.295	0.637	3
-0.569	0.707	8
